year,year-href,date,win/loss
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,10/7/11,W
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,9/16/11,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,8/14/11,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,8/13/11,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,5/1/11,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,2/27/11,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,2/16/11,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,10/8/17,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,8/17/17,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,8/16/17,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,6/3/17,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/1/17,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/9/16,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,8/10/16,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,7/5/16,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,5/11/16,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/26/16,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/18/16,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,10/9/15,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,8/25/15,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,7/4/15,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,5/23/15,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,5/16/15,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/14/15,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/9/15,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,12/16/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,10/25/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,8/15/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,4/11/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,4/8/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,4/1/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/28/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/27/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/25/14,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/23/14,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/13/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/9/14,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/7/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/6/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/4/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/3/14,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/28/14,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/26/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/25/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/21/14,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/19/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/28/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/26/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/24/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/20/14,L
